m0,m1,m2,m3,voltage_mV,std_mV
2439,822,1485,626,4.55040131839961,6.056038869275167
3078,270,1237,1332,328.6816003906369,6.959558020924092
2982,344,822,527,289.51197851496937,3.743017400801065
2156,1030,1484,616,4.453382976775415,6.157139217085509
2610,222,1164,986,8.799127170628987,5.4321420027934755
2446,126,1385,485,5.388286996063113,5.0227937952404
2319,745,598,960,6.102725302896208,3.830349295162324
2943,618,1144,1038,6.914395580919828,1.8937038600925287
2925,1021,1209,1018,5.7940610980559715,4.450359557693231
2184,225,1005,1222,4.779717398602251,5.8036417505072295
3075,728,615,617,5.94396801660207,4.144293718379795
2208,58,1064,1362,4.876735740226448,5.690709987953073
3066,937,1490,835,5.194250312814723,5.291909543137913
2565,383,1196,1140,23.322550126651812,5.093377027380457
3071,782,1493,1353,5.538224433118686,4.799157072282367
3008,362,1014,533,5.2295297097689755,5.244540746063698
3062,631,1494,1338,5.732291634876553,4.520496060613496
2579,506,1075,1175,140.0430310983611,8.838850350719055
2865,209,752,451,60.60029908139286,3.043793174330458
3058,724,1543,1027,4.929654835657828,5.627450878913955
2231,393,1258,841,4.365184484389783,6.246321593528157
2471,159,843,731,5.961577196569721,4.072736693668773
2408,841,1010,800,1563.8508255256816,2.5513017600426715
2495,653,797,424,13.773003326517534,8.613094953897615
2726,619,926,1406,6.473189489425337,2.9910017907992947
2294,966,738,1051,20.578936124759664,7.496627191344089
3140,113,713,1214,5.670522171697135,4.588729469268135
2160,960,598,1242,5.388317514572589,5.053789749519406
3129,515,1505,1298,6.093905453657644,3.8486343997650057
2413,756,1164,971,17.330851161229287,8.736420313963093
2512,401,1090,1352,9.383220923490097,6.086350990751501
3090,722,753,743,6.0674459059419545,3.9028561754796374
2973,815,1059,627,5.829309976500748,4.353386370106132
2320,769,1226,696,6.667226172673727,2.381999239610295
2940,479,729,1142,6.15561387981811,3.676078881869252
2241,292,1243,798,4.550401318399611,6.0560388692751665
2347,628,1328,1410,27.11050752281258,6.389885835761539
2902,95,1312,1391,185.21051667836548,4.782317737855949
2980,217,1141,1242,979.8361156041143,0.3957015157183354
2144,804,849,730,7.0028687398907445,2.200087292278551
3000,472,963,922,32.42072817163609,8.783163991079904
2491,508,1465,697,4.594531083101901,6.034940960917501
2612,366,1090,467,5.18543046357616,5.303648971034857
2961,777,813,432,6.023346659749139,3.9911995743841517
2183,653,1320,1221,6.5614185003204435,2.789325652347653
2646,129,781,685,6.534897915585804,2.756964068210738
3028,944,900,429,4.382824182866909,6.228687186188179
2261,117,794,973,4.859096041749321,5.711531708331186
3029,831,784,793,5.467665639210181,4.90623883832956
2430,256,1009,1239,5.741080965605641,4.470854569687634
2306,871,705,457,130.78554643391215,0.8839297865347857
2760,68,1185,1210,13.843806268501849,8.629521561616084
2234,844,1452,674,4.550401318399611,6.0560388692751665
2336,385,1300,808,5.758720664082766,4.440721833078122
2426,329,1532,590,5.097231971190528,5.418855367007309
3084,763,871,1158,5.988128299813837,4.136348294207449
2536,652,1535,1388,23.8624225592822,5.005741710000901
2641,286,1019,519,6.252723776970734,3.589616392672761
2783,42,1060,657,6.155674916837063,3.7600703342963104
3010,610,1399,494,4.224066896572772,6.383889495880732
2649,186,1212,702,6.182073427533799,3.6178157212434887
2382,479,1115,976,7.126468703268532,1.9710168136103732
2190,796,1035,937,9.179662465285197,5.863988126092118
2260,753,1555,707,4.665059358500932,5.932291179920369
2487,196,1499,461,4.744438001648,5.843767477381458
3015,955,1120,1205,5.714651936399426,4.54999806794791
2678,693,830,1206,7.949461348307748,4.069783653385883
3108,765,1437,899,5.009033478804895,5.530256469731811
2203,812,1187,759,6.684987945188757,2.5732728327055283
2437,1028,1208,638,6.702627643665884,2.5139416099025964
2663,602,983,678,360.40131839960924,2.7511834717633645
2500,230,996,1356,5.979216895046846,4.038672432542267
2956,981,1405,1186,5.688161870174261,4.559648805479283
3113,716,1345,519,4.312265388958403,6.298632208773717
2543,162,594,934,5.4059266945402396,4.997236604712641
2765,525,789,618,1636.4690084536276,5.772692646429913
3004,984,935,1010,4.691518906216621,5.903049388872816
2185,227,1510,956,3.7830744346446123,6.776950851593713
2697,976,839,1215,6.111575670644246,3.8527001311658675
2734,784,1520,1127,6.437910092471085,3.087546246176955
3079,55,1167,544,5.988036744285409,4.02150308577098
3106,567,1341,1096,6.376171147801142,3.248682764484759
2517,1030,1368,1293,57.546922208319344,6.178444197075423
2630,142,829,1056,6.270302438428907,3.4603766037166186
3011,178,1149,1245,752.7760551774649,6.539429745095318
2236,74,1233,455,3.52729880672628,6.982062506438699
3119,346,1381,555,4.118228705710013,6.483135158020225
3110,341,889,512,6.7115085299234,2.606388083590791
3120,957,1361,1252,5.282448805200354,5.172223099329656
2438,111,932,444,4.726798303170874,5.86364777536556
2177,1008,1165,541,6.120334482863858,3.752065871417142
