m0,m1,m2,m3,voltage_mV,std_mV
2851,323,1180,797,6.667256691183203,2.4466662293233274
2542,492,955,798,37.60704367198706,7.844596731900603
2777,790,721,1301,6.490859706411938,2.993993855667107
2488,826,1439,493,6.014526810510575,4.008576411562793
3009,942,930,1186,5.90865810113834,4.172814127677531
2232,880,746,470,6.9232459486678675,1.9348048290623512
2734,498,627,774,31.07547227393414,8.509134970669468
2281,742,899,1194,8.10879848628193,4.399312381233597
2597,697,1369,1132,6.54383983886227,2.9498664483725974
2931,1021,795,1387,4.929654835657827,5.627450878913955
2446,566,596,1178,6.587817011017182,2.590246555100227
2512,1003,1580,1062,5.873378704184088,4.237852663788701
2854,135,1267,1176,58.54701376384777,4.949555799463845
2417,180,827,720,6.340861232337413,3.289630547075902
2985,999,745,1041,5.917508468886381,4.193749569786796
2198,136,1382,1086,6.040955839716789,3.9164897815125874
2699,84,850,558,6.781884212775049,1.9248299292757536
2717,528,1399,692,6.217352824488053,3.5383318116981726
2514,82,1152,1127,6.684926908169806,2.4489231743337605
2180,466,1511,1323,6.0674459059419545,3.902856175479637
2998,465,1418,987,6.473189489425336,2.9910017907992943
2985,591,1388,771,5.899838251899777,4.189196280592009
2695,421,1288,582,6.102725302896208,3.8303492951623244
2534,716,1207,493,6.085085604419081,3.8668129232841597
2564,449,920,1161,43.60759300515763,4.531172208412878
2497,693,1086,1012,695.1701406903288,5.115971899391482
2697,395,1338,828,6.517258217108676,2.810118168918847
2235,959,1079,1277,48.7939085055086,8.514177972255224
2168,596,860,1180,6.684926908169806,2.4489231743337605
2454,606,915,609,27.721182897427287,6.85708764738745
2596,60,1547,1185,5.494125186925872,4.866479197991237
2986,167,1071,606,5.996887112033449,4.043048320072476
2239,978,1356,676,6.032197027497177,4.012829635140967
2374,213,1400,1196,6.287911618396558,3.3726439225296216
2161,228,1154,1307,6.014526810510575,4.008576411562793
2644,502,725,911,183.92245246742152,2.401105371669963
2392,304,1141,936,6.411420026245918,3.1079213223897426
2482,119,668,587,5.996856593523973,4.004240694672706
2150,160,1160,1043,5.988067262794886,4.060145783684463
2293,280,1005,579,6.0762962736899935,3.9248736763733514
2510,917,723,516,219.05117954039127,2.337820913201065
3063,336,984,1208,28.61507003997924,7.416328293178184
2382,291,865,1071,6.3584704123050635,3.1968273271919254
2932,378,1011,845,79.74562822351758,5.573802799572666
2441,789,1281,917,6.790856654560992,2.261340774288397
3015,52,642,1396,5.273628955961792,5.184383606491333
2453,690,1368,724,5.961577196569721,4.072736693668773
2664,796,1441,561,4.814996795556506,5.763020695352487
2163,413,1585,781,5.097231971190528,5.418855367007309
2188,881,865,440,6.526108584856716,2.839216293901169
2647,955,1543,1349,6.51731925412763,2.919125373983338
2528,150,1013,1213,6.85262611774041,2.0865530595160453
3004,329,1100,604,5.952757347331157,4.089633893886328
2520,804,935,890,1724.3629261146884,5.622596210257799
2384,1002,1030,1062,1545.9465315713976,1.0453554459622547
