m0,m1,m2,m3,voltage_mV,std_mV
198,477,3837,642,5.573503830072939,4.744316518713915
614,473,3829,1745,5.044343394268624,5.514531769769301
3839,2018,3945,2084,5.114871669667654,5.3961261946211385
2621,3533,3674,2762,6.085055085909604,3.8262189416553953
1302,2540,2250,1516,5.450025940733055,4.932488365672589
2827,1415,3149,4051,6.138004699850461,3.75611179915116
1694,1096,2590,2062,4.612140263069552,5.989995918959184
2141,3597,2720,2994,5.0354930265205855,5.49722177702728
918,1589,3364,1563,5.397106845301676,5.0100392599492976
304,2915,3809,2911,4.9384746848963905,5.616789955511844
1985,3641,2390,2393,4.479842524491104,6.129884053171655
3633,342,1080,91,5.176610614337596,5.315347836565628
4058,1762,977,3433,4.867915890987884,5.701137176114191
1808,1941,2413,2610,4.947325052644429,5.633884989446809
3535,992,2126,3561,3.7301553392132334,6.820680876715626
2234,2976,2241,2792,5.2207708975493645,5.315534107772317
3163,4076,3527,1073,5.529404583880124,4.812729163313568
181,1045,2572,1273,5.203070162053287,5.280129282325193
3283,43,1207,2007,4.806176946317942,5.7732229657770215
1938,588,2176,2177,6.014496292001098,3.9694319173458994
426,1165,2900,4029,5.5117954039124735,4.8718710817331
3015,3087,1101,2730,5.106082338938567,5.436314379962448
511,2475,3155,1295,5.264809106723228,5.196500686980778
795,1269,2062,745,4.506302072206794,6.102392437130976
3497,1472,2484,3925,4.62977996154668,5.970875084257766
573,972,2758,3853,4.259346293527025,6.35007095170634
3737,2851,2957,3497,4.4710226752525415,6.13899522418428
2080,1633,2399,952,4.867915890987884,5.701137176114191
1247,3158,3877,1152,5.899899288918729,4.263093908655977
151,205,1577,3399,4.338724936674092,6.272587239987517
2282,2893,3683,3870,5.564683980834377,4.758110438255664
1144,965,3381,1772,5.608783227027192,4.6885691402971394
2066,2216,1985,568,4.859096041749321,5.7115317083311865
38,278,3648,1338,5.255989257484665,5.208574643877741
1185,1663,1045,3978,4.435743278298289,6.175179511290546
2753,389,615,378,784.9491866817226,2.517474621419759
932,176,1786,180,3.439100314340648,7.049255882699945
2438,2610,686,2101,4.35636463515122,6.255101499875922
3007,1380,2055,3194,5.494186223944823,4.930240715036872
3112,2553,15,1013,4.497482222968231,6.1115827780065395
415,3326,2542,452,4.6562700277718445,5.968208079024505
214,2733,3528,1320,5.476485488448745,4.893037420675483
974,3975,3164,66,4.9561143833735155,5.595365464864095
3356,155,1765,56,4.13586840418714,6.466820280610311
2301,3511,1532,2635,4.894375438703574,5.669756922547953
2799,512,534,3608,4.779717398602252,5.803641750507228
3565,3016,248,2465,4.259346293527025,6.35007095170634
2805,2134,46,220,4.797387615588855,5.8103367460113375
438,4001,635,1462,5.026673177282023,5.508269476919832
3431,411,609,3690,5.397106845301676,5.010039259949297
231,2135,2471,2534,4.532761619922483,6.074661158685962
3869,4070,1710,1696,4.49748222296823,6.1115827780065395
1928,1658,960,1873,5.5999633777886295,4.702592754445912
2697,2795,1425,2254,4.89440595721305,5.697236789050593
3604,338,2475,2748,4.762108218634603,5.850523109322697
3105,2187,2164,1955,5.000213629566332,5.541196192800856
1861,1198,3374,2136,5.741111484115116,4.5056467207989765
3857,1498,1600,2939,4.753257850886563,5.833781921580147
2660,2859,3870,1865,3.5625782036805322,6.954690212795884
2311,1004,2221,1857,42.31543931394392,1.7246866750915466
2020,1651,3854,3038,5.5117954039124735,4.8718710817331
1230,794,2303,2250,4.929654835657827,5.627450878913955
1749,1458,2380,729,5.379497665334026,5.066418845148486
2952,2743,1367,1214,3.8536332285531176,6.717552929294064
1081,2417,1828,993,5.2295602282784515,5.27423460324205
3965,1631,2105,752,4.788537247840815,5.7935333285621144
1434,2464,2870,2147,5.599993896298105,4.735683584965727
3817,65,2099,1204,5.458876308481094,4.951031944352464
382,2790,1859,3707,4.250526444288461,6.3585608011486645
1422,1503,1849,3897,4.1976073488570815,6.409008855821443
1974,3961,4018,2025,4.453382976775414,6.157139217085509
1563,2989,943,3847,4.603320413830988,5.999514035202738
643,3181,2071,3058,5.176610614337596,5.315347836565628
3681,3756,1877,1058,5.4059266945402396,4.997236604712641
118,3473,465,655,4.1976073488570815,6.409008855821443
3324,3399,1317,1249,4.929654835657826,5.627450878913955
2786,3150,2729,3369,5.6088137455366684,4.721758194545332
3107,787,3309,450,4.99139378032777,5.552100349753207
274,381,93,3088,4.744438001648,5.843767477381458
3667,3525,152,1627,4.232886745811334,6.375469979841501
1825,1018,468,705,4.973754081850642,5.5738027995726664
181,2946,3574,2031,4.762077700125126,5.823765887115337
2235,1835,2779,1536,5.485305337687309,4.879784347903767
2441,2254,4087,2803,4.920834986419263,5.638077846691989
2419,777,142,212,5.72347178563799,4.53527962929702
2115,1984,320,1549,4.9384746848963905,5.616789955511844
3650,3497,1969,2884,4.973754081850642,5.5738027995726664
3129,3663,2821,530,4.982573931089206,5.562969149731777
3746,2171,1036,9,3.624317148350475,6.9060940184869715
1073,2469,3915,4061,4.779717398602252,5.803641750507228
