m0,m1,m2,m3,voltage_mV,std_mV
2466,1861,1369,2746,1.8612475966673787,8.834441032174075
1459,2269,709,925,1.4014099551377908,7.707754753257851
747,3012,3738,3169,2.0145268105105747,9.174202524083825
2610,1020,3559,3750,1.138645588549455,6.969175037093242
84,2491,497,4064,1.2262337107455672,7.224825598969043
2827,2369,1430,2360,1.226233710745567,7.224825598969043
34,1155,1593,714,1.335718863490707,7.5307641468348345
3016,2781,1983,2540,1.510895107882931,7.992836082414952
1704,322,3004,3931,1.7955565050202946,8.683932756715123
2729,2796,1947,2996,1.4014099551377908,7.707754753257851
2800,536,1975,3760,2.2116000854518263,9.589774467044183
1050,1375,1962,2480,2.430570390942106,10.026807855879154
2618,1492,409,1493,0.8101901303140354,5.901280201850827
3255,1306,2470,1014,1.9050416577654343,8.933102878434772
141,2020,3136,4001,3.1093783379619735,11.247402867377485
3207,90,2340,3783,1.5984832300790428,8.212729363948112
2718,232,1279,2373,0.8977782525101473,6.205751352757791
2517,2509,2802,2777,1.510895107882931,7.992836082414952
37,896,342,3252,0.7882930997650074,5.8224694214008155
4088,264,381,362,0.8539841914120914,6.055588068577097
796,2415,2527,2581,2.9779961546678058,11.024975485237206
4002,2151,2337,152,1.6641743217261267,8.37325956544984
863,1275,2792,2739,1.7955565050202944,8.683932756715125
1654,2703,531,3427,2.255394146549882,9.67915628027112
3918,3737,433,805,1.0510574663533432,6.702637771912572
2487,2871,2825,638,1.9707327494125184,9.07868949056551
2916,1865,2952,3308,3.656804101687673,12.1150355350206
1545,890,3609,3627,1.313821832941679,7.470707183064635
1590,2050,184,3183,1.0072634052552873,6.564874373818549
3010,3880,2947,753,4.094744712668232,12.749845719286562
2559,3784,466,331,1.7736594744712666,8.633069179657882
1023,1410,3785,1410,2.430570390942106,10.026807855879156
3018,3089,1638,1918,0.8977782525101472,6.20575135275779
699,219,2013,1955,2.60574663533433,10.359841303144043
1494,3470,1711,515,2.1459089938047424,9.453737048165692
3697,3506,1976,2822,2.540055543687246,10.236574891421384
1500,3287,3567,3329,2.102114932706687,9.361691225830086
2914,3095,3928,3405,1.9050416577654345,8.933102878434772
338,333,827,4004,1.0291604358043154,6.634149817624799
