iteration,motor_pos,voltage,direction
152,2209,7.116534928434095,forward
153,2210,7.81723990600299,forward
154,2211,8.58363597521897,forward
155,2212,8.25518051698355,forward
156,2213,7.269814142277291,forward
157,2214,6.897564622943815,forward
158,2215,9.284340952787865,forward
159,2216,9.766075624866481,forward
160,2217,8.386562700277718,forward
161,2218,7.817239906002991,forward
162,2219,9.065370647297586,forward
163,2220,7.685857722708823,forward
164,2221,11.320764793847468,forward
165,2222,4.904934842982269,forward
166,2223,9.131061738944668,forward
167,2224,6.19685964537492,forward
168,2225,8.277077547532578,forward
169,2226,6.7223883785515905,forward
170,2227,9.919354838709678,forward
171,2228,8.14569536423841,forward
172,2229,9.809869685964538,forward
173,2230,10.707647938474686,forward
174,2231,10.20401623584704,forward
175,2232,8.408459730826745,forward
176,2233,10.138325144199957,forward
177,2234,14.298760948515273,forward
178,2235,11.1893826105533,forward
179,2236,10.554368724631487,forward
180,2237,8.649327066866054,forward
181,2238,10.6419568468276,forward
182,2239,10.160222174748986,forward
183,2240,8.298974578081607,forward
184,2241,9.853663747062594,forward
185,2242,10.335398419141208,forward
186,2243,9.700384533219397,forward
187,2244,9.481414227729118,forward
188,2245,12.459410382396921,forward
189,2246,8.736915189062165,forward
190,2247,8.080004272591326,forward
191,2248,10.31350138859218,forward
192,2249,9.5471053193762,forward
193,2250,8.386562700277718,forward
194,2251,13.379085665456099,forward
